Number,lat,lon,ele,time,AQI,GSR
1,51.52805288,0.004689684,3.525506292,14:15:22,70,180
2,51.52809539,0.004732341,2.946840266,14:15:25,73,180
3,51.52814727,0.004763644,3.303112311,14:15:29,72,181
4,51.52820198,0.004769013,3.556238215,14:15:33,73,183
5,51.52825727,0.004787746,2.832521387,14:15:37,78,187
6,51.52830458,0.004801847,3.137438355,14:15:41,73,188
7,51.52836462,0.004815402,3.22825997,14:15:45,74,187
8,51.52841249,0.004828084,3.500437385,14:15:48,75,186
9,51.52846205,0.004858004,3.698909693,14:15:52,76,191
10,51.52850562,0.004886433,3.827581503,14:15:56,78,187
11,51.5285583,0.004907617,4.422289719,14:16:00,83,183
12,51.52861625,0.004917459,3.852514192,14:16:04,87,182
13,51.52867574,0.004929373,3.375080371,14:16:08,90,182
14,51.52872415,0.004940501,4.930579849,14:16:11,86,180
15,51.52878255,0.004946117,4.490263853,14:16:15,82,184
16,51.52883153,0.004942531,4.583995202,14:16:20,80,184
17,51.52888031,0.004946605,5.02549082,14:16:24,79,187
18,51.52893712,0.004952538,4.656749585,14:16:28,80,191
19,51.52899539,0.004952178,5.345208719,14:16:32,85,193
20,51.5290505,0.004961565,4.508933365,14:16:36,88,198
21,51.52910416,0.004968473,4.712175525,14:16:40,90,199
22,51.52915432,0.004957615,4.630850493,14:16:44,87,196
23,51.52920433,0.004945737,3.758287971,14:16:48,88,194
24,51.52925639,0.00495492,3.599028721,14:16:54,84,194
25,51.52931103,0.004941717,3.23580067,14:16:58,81,197
26,51.52936105,0.00492983,2.963312368,14:17:02,83,201
27,51.52941417,0.004905662,4.556075386,14:17:06,87,205
28,51.52945791,0.004880575,4.35614826,14:17:10,86,210
29,51.52950675,0.004855277,4.851717471,14:17:14,89,212
30,51.52955642,0.004824526,4.139246562,14:17:19,92,210
31,51.52960907,0.004795656,3.892267729,14:17:24,87,212
32,51.52965893,0.004782914,3.468362656,14:17:28,84,217
33,51.52971067,0.004777024,2.407976402,14:17:32,80,220
34,51.52975785,0.004773603,2.756304612,14:17:36,77,219
35,51.52980843,0.004774204,3.770052247,14:17:41,74,220
36,51.52985419,0.004780958,3.717224172,14:17:50,74,217
37,51.52989882,0.004817924,3.012917308,14:17:57,74,215
38,51.52993822,0.004867333,3.10785093,14:18:00,71,213
39,51.5299744,0.004922615,3.250676044,14:18:02,76,217
40,51.53001934,0.004968672,3.089433704,14:18:04,78,221
41,51.53006235,0.005020308,3.187013631,14:18:07,77,220
42,51.53009953,0.005069715,3.494408267,14:18:13,77,223
43,51.53013347,0.005134526,3.384071079,14:18:19,81,225
44,51.53016721,0.005192869,3.978593471,14:18:23,79,225
45,51.53020664,0.005253225,3.838252435,14:18:27,75,225
46,51.5302417,0.005316198,3.714967097,14:18:31,78,222
47,51.53027617,0.005380592,3.787727146,14:18:35,73,220
48,51.53031907,0.005405733,4.199331292,14:18:48,72,219
49,51.53035797,0.005366864,4.073628996,14:19:24,70,221
50,51.53038528,0.005305388,4.480464047,14:19:48,74,221
51,51.53043043,0.005305006,3.684605247,14:20:04,76,222
52,51.53045454,0.005366813,4.385847616,14:21:43,80,218
53,51.53049516,0.005329989,4.656890285,14:23:14,84,219
54,51.5305119,0.005256962,4.968949663,14:23:19,81,216
55,51.53055747,0.005256742,4.265399056,14:24:33,76,211
56,51.5306027,0.005219198,4.680331451,14:24:47,80,211
57,51.53064997,0.005191875,4.753916884,14:24:53,83,215
58,51.53068791,0.005152587,4.962363431,14:24:57,86,211
59,51.53072303,0.005106875,4.618741772,14:25:04,87,212
60,51.53076435,0.005073358,4.154962342,14:25:10,83,217
61,51.53081024,0.005029813,4.076711295,14:25:15,88,218
62,51.53085705,0.005007914,4.427476844,14:25:20,90,223
63,51.53091083,0.005002478,4.921002307,14:25:25,91,218
64,51.53096322,0.005002943,4.503804235,14:25:30,96,219
65,51.53101748,0.004993568,4.141918229,14:25:35,101,224
66,51.5310696,0.004977032,4.029797115,14:25:40,97,220
67,51.53111804,0.004959221,4.05205164,14:25:45,94,224
68,51.53116423,0.004951994,4.691656293,14:25:50,97,223
69,51.53121252,0.004950779,4.268447408,14:25:55,98,227
70,51.531258,0.0049391,3.937293991,14:25:59,93,226
71,51.53130968,0.004923138,4.801298578,14:26:04,94,222
72,51.53135639,0.004911157,4.938227181,14:26:08,95,220
73,51.53141039,0.004894196,4.556429416,14:26:13,93,223
74,51.53145549,0.004878414,3.52137234,14:26:19,91,227
75,51.53149832,0.004854796,3.648331729,14:26:24,89,226
76,51.53154332,0.004841674,4.761442604,14:26:30,94,221
77,51.53159001,0.004806398,4.629322937,14:27:04,99,223
78,51.53162739,0.00474355,4.450067666,14:27:10,103,227
79,51.53167205,0.00471568,3.746213619,14:27:15,104,228
80,51.53171362,0.004680231,3.843235387,14:27:20,103,226
81,51.53175453,0.004643008,4.110881043,14:27:25,107,222
82,51.53179663,0.004610435,4.170124957,14:27:30,105,223
83,51.53183991,0.004569782,4.238951054,14:27:34,106,226
84,51.53188895,0.004531054,4.644726459,14:27:39,107,230
85,51.53193492,0.004513263,4.574954055,14:27:43,110,233
86,51.53198254,0.004544495,4.906242212,14:27:47,107,234
87,51.53202212,0.00459062,4.340541403,14:27:51,112,234
88,51.53205617,0.004645394,4.063311473,14:27:55,109,233
