latitude,longitude,views,days_since_taken,id,server,secret,title,tags,date_taken,url_s,image_path,owner,owner_name,media
51.533688,-0.123085,977,2567,54362708827,65535,9cdd08b668,"King's Cross railway station, 1852, London N1.",olympusomdem5 olympusm1442mmf3556iir edk7 2018 uk england london londonn1 northlondon londonboroughofcamden city cityscape urban kingscross londonkingscrossrailwaystation1852 architecture building oldstructure mechanical engineering sky cloud victorian industrial historic vintage old lattice girder arch gradeilisted window train locomotive machine rail railway railroad rwy rr colour color red transportation sign text letter logo rollingstock,2018/4/22 17:35,https://live.staticflickr.com/65535/54362708827_9cdd08b668_m.jpg,flickr_images_cloud\54362708827.jpg,11200205@N02,edk7,photo
51.535088,-0.126281,11,339,53794989572,65535,b1c515282e,"Coal Office, Coal Dumps Yard, London",london,2024/5/28 19:18,https://live.staticflickr.com/65535/53794989572_b1c515282e_m.jpg,flickr_images_cloud\53794989572.jpg,200952722@N08,udvjniio62,photo
51.532811,-0.127264,26,559,53456864502,65535,a25b0f0df2,Storm Clouds Over the BT Tower,london uk2023 2023,2023/10/21 14:53,https://live.staticflickr.com/65535/53456864502_a25b0f0df2_m.jpg,flickr_images_cloud\53456864502.jpg,15265115@N06,superdubey,photo
51.536632,-0.128273,1004,5469,52768215752,65535,f019573666,"St Pancras Basin, Regent's Canal, Camden, London N1.",nikond300 edk7 2010 uk england london londonn1 londonboroughofcamden canalrivertrust regentscanal stpancrasbasin narrowboat architecture building oldstructure machine mechanical engineering transportation history historical unlimitedphotos boat ship bridge railway railroad rwy rr train utilitypole water reflection sky cloud grass industrial,2010/5/12 5:56,https://live.staticflickr.com/65535/52768215752_f019573666_m.jpg,flickr_images_cloud\52768215752.jpg,11200205@N02,edk7,photo
51.537086,-0.128123,1173,2567,52742635717,65535,8c5d034746,"Angry sky, King's Cross, London N1..",olympusomdem5 edk7 2018 uk england london londonn1 northlondon londonboroughofcamden kingscross stpancras city cityscape urban architecture building oldstructure mechanical engineering sky cloud gasholder victorian guideframe gasometer industrial historic vintage old park,2018/4/22 16:56,https://live.staticflickr.com/65535/52742635717_8c5d034746_m.jpg,flickr_images_cloud\52742635717.jpg,11200205@N02,edk7,photo
51.535863,-0.126771,467,972,52333793478,65535,b6fb7ccae7,Sunlight,sun ribbons sky lensflare coaldropsyard,2022/9/3 13:05,https://live.staticflickr.com/65535/52333793478_b6fb7ccae7_m.jpg,flickr_images_cloud\52333793478.jpg,73088501@N07,Mandy Willard,photo
51.535811,-0.127576,738,5469,51824571798,65535,f0b2001f0c,"Along Regent's Canal, King's Cross, London N1.",nikond300 edk7 2010 uk england london kingscross londonboroughofislington londonn1 britishwaterways grandunioncanal regentscanalarm regentscanal boat canalboat ship reflection tree cloud sky gasholder industrial lock city cityscape urban waterway,2010/5/12 5:59,https://live.staticflickr.com/65535/51824571798_f0b2001f0c_m.jpg,flickr_images_cloud\51824571798.jpg,11200205@N02,edk7,photo
51.535064,-0.116611,885,5469,51823461792,65535,62fab41083,"Along Regent's Canal, Islington, London N1.",nikond300 edk7 2010 uk england london londonboroughofislington londonn1 britishwaterways grandunioncanal regentscanalarm regentscanal islingtonvisitormoorings boat canalboat ship porthole window reflection architecture building oldstructure brick tree terrace cloud sky tvantenna city cityscape urban waterway,2010/5/12 4:48,https://live.staticflickr.com/65535/51823461792_62fab41083_m.jpg,flickr_images_cloud\51823461792.jpg,11200205@N02,edk7,photo
51.534589,-0.122375,5412,1286,51634421228,65535,d8eea2d62c,UK - London - Flickr Group Photowalk - Gurdian Reflections 02_241021_DSC0106,uklondonflickrgroupphotowalkgurdianreflections02241021dsc0106 reflection abstract glass facade architecture london kingsplace dixonjones squareformat bsquare sq squares lfgphotowalk02 londonflickrphotowalk londonflickrphotowalk02,2021/10/24 17:54,https://live.staticflickr.com/65535/51634421228_d8eea2d62c_m.jpg,flickr_images_cloud\51634421228.jpg,79986881@N00,Darrell Godliman,photo
51.534813,-0.130481,2713,1286,51633401570,65535,aca8ca2893,St Pancras Old Church,church graveyard tombs spire clock weathervane hedge bush tree sky cloud leaves stpancras somerstown camden london nikond700 tamronsp2470mm ghe lfgphotowalk02,2021/10/24 14:57,https://live.staticflickr.com/65535/51633401570_aca8ca2893_m.jpg,flickr_images_cloud\51633401570.jpg,150408877@N06,Croydon Clicker,photo
51.540483,-0.131707,409,1538,51130316734,65535,1598540ee4,Cedar Way,cedarwayindustrialestate cedarway london n1c n1 camleystreet 2021 covid19 covidlondon coronavirus canon50mmf14 canon5dmkii canoneos5dmarkii urbanlandscape newtopographics urban architecture industrial bleak clouds overcast grey trash rubbish wolseley denuded warehouse,2021/2/14 16:29,https://live.staticflickr.com/65535/51130316734_1598540ee4_m.jpg,flickr_images_cloud\51130316734.jpg,42539973@N00,Gary Kinsman,photo
