latitude,longitude,views,days_since_taken,id,server,secret,title,tags,date_taken,url_s,image_path,owner,owner_name,media
51.533581,-0.137354,750,5467,54462099226,65535,33447d5683,"Springtime, Oakley Square, Camden, London NW1.",nikond300 nikonnikkor1855mm13556gvrafsdxswmaspherical edk7 2010 uk england london londonnw1 londonboroughofcamden camdentown oakleysquare city cityscape urban house townhouse window stone architecture building oldstructure residential tree vine blossom sign text letter logo colour color purple green sky cloud,2010/5/14 4:15,https://live.staticflickr.com/65535/54462099226_33447d5683_m.jpg,flickr_images_sky\54462099226.jpg,11200205@N02,edk7,photo
51.533688,-0.123085,977,2567,54362708827,65535,9cdd08b668,"King's Cross railway station, 1852, London N1.",olympusomdem5 olympusm1442mmf3556iir edk7 2018 uk england london londonn1 northlondon londonboroughofcamden city cityscape urban kingscross londonkingscrossrailwaystation1852 architecture building oldstructure mechanical engineering sky cloud victorian industrial historic vintage old lattice girder arch gradeilisted window train locomotive machine rail railway railroad rwy rr colour color red transportation sign text letter logo rollingstock,2018/4/22 17:35,https://live.staticflickr.com/65535/54362708827_9cdd08b668_m.jpg,flickr_images_sky\54362708827.jpg,11200205@N02,edk7,photo
51.535322,-0.125471,526,215,54066148027,65535,98cf96d592,Another London Skyline,chrisbarbaraarps findingchris visualstorytelling documentaryandvisualjournalism iphone13pro iphonephotographer iphonephotography iphonelandscape,2024/9/29 16:17,https://live.staticflickr.com/65535/54066148027_98cf96d592_m.jpg,flickr_images_sky\54066148027.jpg,75377955@N02,Finding Chris,photo
51.535591,-0.130569,49,262,53930611388,65535,1bcd86250c,London Shapes,london bluesky circles confusion circlesofconfusion moss blue green park,2024/8/13 13:19,https://live.staticflickr.com/65535/53930611388_1bcd86250c_m.jpg,flickr_images_sky\53930611388.jpg,60229840@N00,Pittypomm,photo
51.537106,-0.128788,1612,823,53726301247,65535,a3bccaeaa0,Forever Looking Up,monochrome blackandwhite hdr highdynamicrange gasholderpark coaldropsyard kingscross london christchurchgreyfriars building structure urban city night evening sky stars lowlight longexposure sonya7riii sony 1635mm sel1635gm,2023/1/30 0:29,https://live.staticflickr.com/65535/53726301247_a3bccaeaa0_m.jpg,flickr_images_sky\53726301247.jpg,82336316@N03,NIGHT X NIGHT Photography,photo
51.536993,-0.128188,1529,823,53717954106,65535,a01b70d542,Not A Drop,hdr highdynamicrange gasholderpark coaldropsyard kingscross london christchurchgreyfriars construction building structure crane river reflections urban city night evening sky stars lowlight longexposure sonya7riii sony 1635mm sel1635gm,2023/1/30 0:21,https://live.staticflickr.com/65535/53717954106_a01b70d542_m.jpg,flickr_images_sky\53717954106.jpg,82336316@N03,NIGHT X NIGHT Photography,photo
51.53475,-0.125387,1504,824,53707221821,65535,82f041bc2a,Dark Frontier,169 widescreen coaldropsyard kingscross london christchurchgreyfriars building architecture river urban city night evening sky lowlight longexposure sonya7riii sony 1635mm sel1635gm,2023/1/29 23:57,https://live.staticflickr.com/65535/53707221821_82f041bc2a_m.jpg,flickr_images_sky\53707221821.jpg,82336316@N03,NIGHT X NIGHT Photography,photo
51.535645,-0.122609,1845,824,53705225989,65535,f2f749e9a3,Only Just Begun,square 1x1 hdr highdynamicrange coaldropsyard kingscross london christchurchgreyfriars construction building structure crane river reflections urban city night evening sky stars lowlight longexposure sonya7riii sony 1635mm sel1635gm,2023/1/29 23:47,https://live.staticflickr.com/65535/53705225989_f2f749e9a3_m.jpg,flickr_images_sky\53705225989.jpg,82336316@N03,NIGHT X NIGHT Photography,photo
51.532788,-0.130531,57,594,53209839664,65535,a929ed5244,Light For Learning,somers town london edith neville school glass sky blue shadow light metal lines,2023/9/16 12:37,https://live.staticflickr.com/65535/53209839664_a929ed5244_m.jpg,flickr_images_sky\53209839664.jpg,183023190@N03,AndInTheEnd,photo
51.536105,-0.12719,1943,678,53056984208,65535,95c76e9ef3,Gas Holders,gasholder flats apartment park canalside flowers yellow shrubs footpath people sky cloud kingscross stpancras camden london nikonz50 nikkorz18140 ghe,2023/6/24 12:41,https://live.staticflickr.com/65535/53056984208_95c76e9ef3_m.jpg,flickr_images_sky\53056984208.jpg,150408877@N06,Croydon Clicker,photo
